company,title,exp,link,edu,location
㈜니트머스,[신입/경력] 온라인 광고 플랫폼 개발 (Python  PHP),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41380190?Oem_Code=C1&logpath=1&stext=python&listno=79,초대졸↑,서울 중구
㈜핫셀러,도전하기를 좋아하는  Python 백엔드 개발자 채용,경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41370557?Oem_Code=C1&logpath=1&stext=python&listno=80,학력무관,서울 동대문구
하이미디어컴퓨터학원,[하이미디어안산점] 주말반(일요일) 파이썬 강사님을 모십니다.,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41365210?Oem_Code=C1&logpath=1&stext=python&listno=81,고졸↑,경기 안산시
㈜하이미디어컴퓨터디자인학원,하이미디어컴퓨터학원(일산점) Java & Python을 활용한 빅데이터 서비스 개발자 강사채용 공고,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41365102?Oem_Code=C1&logpath=1&stext=python&listno=82,학력무관,경기 고양시 외
오아시스스토리㈜,개발자 [mqtt/node/java/jsp /c#/python],경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41343639?Oem_Code=C1&logpath=1&stext=python&listno=83,학력무관,대전 서구 외
㈜데이터위버,[경력] Python 데이터분석,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41342701?Oem_Code=C1&logpath=1&stext=python&listno=84,학력무관,서울 중구
㈜씨제스엔터테인먼트,[씨제스걸리버스튜디오] 제작본부 TD팀 Python 개발자 경력 모집,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41338558?Oem_Code=C1&logpath=1&stext=python&listno=85,학력무관,경기 고양시
㈜데이터위버,[신입] 파이썬 딥러닝 데이터분석,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41337605?Oem_Code=C1&logpath=1&stext=python&listno=86,학력무관,서울 중구
에스티엔인포텍,서버 개발자 & Web 개발자 모집(SpringBoot   Java  Python),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41323086?Oem_Code=C1&logpath=1&stext=python&listno=87,초대졸↑,경기 광명시
㈜와이즈교육,[부산] 코딩 인공지능 파이썬 드론 메타버스 자율주행 초중고 강사/선생님 모집 시간조절 가능,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41321356?Oem_Code=C1&logpath=1&stext=python&listno=88,초대졸↑,부산 연제구 외
