N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
179,DL,"67,900",500,+0.74%,"5,000","14,229","20,956",10.96,"26,963",38.34,26.52,
180,동원시스템즈,"48,750",50,-0.10%,"5,000","14,133","28,991",13.28,"13,918",30.20,6.95,
181,TIGER 단기통안채,"101,830",15,+0.01%,0,"14,014","13,762",5.64,"989,709",N/A,N/A,
182,현대일렉트릭,"38,100",100,-0.26%,"5,000","13,734","36,047",15.10,"217,430",27.97,-5.08,
183,TIGER 미국테크TOP10 INDXX,"9,385",65,-0.69%,0,"13,665","145,600",0.24,"220,661",N/A,N/A,
184,영풍,"727,000",0,0.00%,"5,000","13,392","1,842",4.39,"5,287",5.97,3.66,
185,DGB금융지주,"7,840",90,-1.13%,"5,000","13,261","169,146",44.44,"644,852",2.76,9.63,
186,한미반도체,"13,200",50,+0.38%,100,"13,057","98,920",4.88,"204,200",10.46,34.59,
187,한국앤컴퍼니,"13,700",300,-2.14%,500,"13,006","94,935",9.23,"67,243",5.43,5.53,
188,솔루스첨단소재,"36,800",700,-1.87%,100,"12,921","35,111",4.80,"93,307",-836.36,4.00,
189,동국제강,"13,450",50,-0.37%,"5,000","12,836","95,433",24.67,"152,273",1.75,23.41,
190,코오롱인더,"45,650",50,+0.11%,"5,000","12,562","27,519",17.96,"64,362",8.35,8.20,
191,TIGER 2차전지테마,"19,890",505,-2.48%,0,"12,521","62,950",0.07,"782,576",N/A,N/A,
192,에스엘,"26,700","1,000",-3.61%,500,"12,402","46,449",14.63,"368,622",10.04,6.63,
193,현대엘리베이,"30,100",350,+1.18%,"5,000","12,285","40,815",29.38,"127,207",8.58,10.62,
194,일진하이솔루스,"33,800",150,+0.45%,500,"12,274","36,313",1.59,"36,352",135.20,4.97,
195,대웅,"20,950",150,+0.72%,500,"12,181","58,142",4.58,"38,646",9.76,11.13,
196,KODEX 2차전지산업,"21,390",610,-2.77%,0,"12,064","56,400",0.07,"1,400,452",N/A,N/A,
197,KODEX 단기채권PLUS,"104,585",35,+0.03%,0,"11,891","11,370",0.02,"579,479",N/A,N/A,
198,신풍제약,"22,350",250,-1.11%,500,"11,842","52,985",4.78,"382,650",-41.31,-3.19,
199,롯데제과,"125,500",500,+0.40%,500,"11,840","9,435",14.59,"3,992",22.95,2.88,
200,후성,"12,650",550,-4.17%,500,"11,715","92,607",5.44,"1,303,073",16.45,9.61,
